z,name,symbol,group,period,valenceoftheelements,numofvalenceelectrons,thermalconductivity,entalpyofatomization,fusion,vaporization,mass,density,volume,atomic_radii,van_der_waals_radii,covalent_radii,melt,boil,specific_heat,electronegativity,first_ionization_energy,electron_affinity,s_elec,p_elec,d_elec,f_elec
72,Hafnium,Hf,4,6,4,,23,621,25.5,630,178.4900055,13.31000042,22.30500031,155,,150,2500.149902,4876,0.143999994,1.299999952,6.825069904,0.114,12,24,22,14
73,Tantalum,Ta,5,6,5,,57,782,36,735,180.947998,16.65399933,18.22999954,145,,138,3269.149902,5731,0.140000001,1.5,7.549600124,0.323,12,24,23,14
74,Tungsten,W,6,6,6,,170,860,35,800,183.8399963,19.25,16.13999939,135,,146,3680.149902,5828,0.131999999,2.359999895,7.863999844,0.816,12,24,24,14
75,Rhenium,Re,7,6,7,,48,776,33,705,186.2070007,21.02000046,14.86999989,135,,159,3453.149902,5869,0.136999995,1.899999976,7.833499908,0.15,12,24,25,14
76,Osmium,Os,8,6,6,,88,789,31,630,190.2299957,22.61000061,14.26500034,130,,128,3300.149902,5285,0.129999995,2.200000048,8.438199997,1.077,12,24,26,14
77,Iridium,Ir,9,6,6,,150,671,26,560,192.2169952,22.55999947,14.40999985,135,,137,2716.149902,4701,0.130999997,2.200000048,8.967000008,1.564,12,24,27,14
78,Platinum,Pt,10,6,6,,72,565,20,490,195.0839996,21.45999908,15.53999996,135,175,128,2045.150024,4098,0.133000001,2.279999971,8.95870018,2.125,11,24,29,14
79,Gold,Au,11,6,5,,320,368,12.5,330,196.9669952,19.28199959,17.70999908,135,166,144,1337.72998,3129,0.128999993,2.539999962,9.225500107,2.308,11,24,30,14
80,Mercury,Hg,12,6,2,,8.3,64,2.29,59.2,200.5899963,13.53359985,32.71670151,150,155,149,234.4299927,630,0.140000001,2,10.4375,,12,24,30,14
81,Thallium,Tl,13,6,3,3,46,182,4.2,165,204.3829956,11.85000038,31.28000069,190,196,148,577.1500244,1746,0.128999993,1.620000005,6.108200073,0.377,12,25,30,14
82,Lead,Pb,14,6,4,4,35,195,4.77,178,207.1999969,11.34200001,31.15999985,180,202,147,600.75,2022,0.128999993,2.329999924,7.416659832,0.356,12,26,30,14
83,Bismuth,Bi,15,6,5,5,8,207,10.9,160,208.9799957,9.80700016,36.09000015,160,,146,544.6699829,1837,0.122000001,2.019999981,7.285600185,0.942,12,27,30,14
84,Polonium,Po,16,6,6,6,,142,13,100,210,9.319999695,,190,,,527.1500244,1235,,2,8.416999817,1.405,12,28,30,14
85,Astatine,At,17,6,7,7,2,,6,40,210,7,,,,,575.1500244,610,,2.200000048,,2.42,12,29,30,14
86,Radon,Rn,18,6,6,8,0.00361,0,3,17,222,0.00973,,120,,145,202.1499939,211.3000031,0.093999997,2.200000048,10.74849987,,12,30,30,14
87,Francium,Fr,1,7,3,1,,64,2,65,223,1.870000005,,,,,300.1499939,950,,0.699999988,4.072700024,0.491,13,30,30,14
88,Radium,Ra,2,7,2,2,19,159,8,125,226,5.5,,215,,,973.1500244,2010,,0.899999976,5.278399944,0.1,14,30,30,14
89,Actinium,Ac,0,7,3,,12,,14,400,227,10.06999969,44.86999893,195,,,1323.150024,3471,0.119999997,1.100000024,5.170000076,,14,30,31,14
90,Thorium,Th,0,7,4,,54,,16,530,232.0379944,11.72000027,32.15000153,180,,,2028.150024,5061,0.112999998,1.299999952,6.30670023,,14,30,32,14
91,Protactinium,Pa,0,7,5,,47,,15,470,231.0359955,15.36999989,24.73999977,180,,,1873.150024,4300,,1.5,5.889999866,,14,30,31,16
92,Uranium,U,0,7,6,,27,,14,420,238.029007,18.95000076,20.03000069,175,186,,1405.150024,4404,0.115999997,1.379999995,6.194049835,,14,30,31,17
93,Neptunium,Np,0,7,6,,6,,10,335,237,20.45000076,18.45870018,175,,,913.1500244,4273,,1.360000014,6.265699863,,14,30,31,18
94,Plutonium,Pu,0,7,6,,6,,2.8,325,244,19.84000015,20.79129982,175,,,913.1500244,3501,,1.279999971,6.026199818,,14,30,30,20
95,Americium,Am,0,7,4,,10,,,,243,13.68999958,,175,,,1267.150024,2880,,1.299999952,5.973800182,,14,30,30,21
96,Curium,Cm,0,7,4,,,,,320,247,13.51000023,,,,,1340.150024,3383,,1.299999952,5.991499901,,14,30,31,21
97,Berkelium,Bk,0,7,4,,10,,,,247,14.78999996,,,,,1259.150024,983,,1.299999952,6.197899818,,14,30,30,23
98,Californium,Cf,0,7,4,,,,,,251,15.10000038,,,,,1925.150024,1173,,1.299999952,6.281700134,,14,30,30,24
99,Einsteinium,Es,0,7,4,,,,,,252,13.5,,,,,1133.150024,,,1.299999952,6.420000076,,14,30,30,25
